Time,Skel547:Hips.X,Skel547:Hips.Y,Skel547:Hips.Z,Skel547:Spine.X,Skel547:Spine.Y,Skel547:Spine.Z,Skel547:LeftShoulder.X,Skel547:LeftShoulder.Y,Skel547:LeftShoulder.Z,Skel547:LeftArm.X,Skel547:LeftArm.Y,Skel547:LeftArm.Z,Skel547:LeftForeArm.X,Skel547:LeftForeArm.Y,Skel547:LeftForeArm.Z,Skel547:LeftHand.X,Skel547:LeftHand.Y,Skel547:LeftHand.Z,Skel547:LeftHandEnd.X,Skel547:LeftHandEnd.Y,Skel547:LeftHandEnd.Z,Skel547:RightShoulder.X,Skel547:RightShoulder.Y,Skel547:RightShoulder.Z,Skel547:RightArm.X,Skel547:RightArm.Y,Skel547:RightArm.Z,Skel547:RightForeArm.X,Skel547:RightForeArm.Y,Skel547:RightForeArm.Z,Skel547:RightHand.X,Skel547:RightHand.Y,Skel547:RightHand.Z,Skel547:RightHandEnd.X,Skel547:RightHandEnd.Y,Skel547:RightHandEnd.Z,Skel547:Neck.X,Skel547:Neck.Y,Skel547:Neck.Z,Skel547:Head.X,Skel547:Head.Y,Skel547:Head.Z,Skel547:HeadEnd.X,Skel547:HeadEnd.Y,Skel547:HeadEnd.Z,Skel547:RightUpLeg.X,Skel547:RightUpLeg.Y,Skel547:RightUpLeg.Z,Skel547:RightLeg.X,Skel547:RightLeg.Y,Skel547:RightLeg.Z,Skel547:RightFoot.X,Skel547:RightFoot.Y,Skel547:RightFoot.Z,Skel547:RightToeBase.X,Skel547:RightToeBase.Y,Skel547:RightToeBase.Z,Skel547:RightToeBaseEnd.X,Skel547:RightToeBaseEnd.Y,Skel547:RightToeBaseEnd.Z,Skel547:LeftUpLeg.X,Skel547:LeftUpLeg.Y,Skel547:LeftUpLeg.Z,Skel547:LeftLeg.X,Skel547:LeftLeg.Y,Skel547:LeftLeg.Z,Skel547:LeftFoot.X,Skel547:LeftFoot.Y,Skel547:LeftFoot.Z,Skel547:LeftToeBase.X,Skel547:LeftToeBase.Y,Skel547:LeftToeBase.Z,Skel547:LeftToeBaseEnd.X,Skel547:LeftToeBaseEnd.Y,Skel547:LeftToeBaseEnd.Z
0.0,1.610126,60.661674,72.446014,1.6064698707396747,79.38220557121204,71.08414116554702,-18.377427493347092,103.71043294913078,70.22954733795241,-18.377427493347092,103.71043294913078,70.22954733795241,-27.426857998526273,81.02262443936068,64.90308955102348,-17.75341765418783,82.90944582045532,41.927788530571775,-8.079977818253802,84.79626694284298,18.95248727481723,21.58088876673699,103.58573639391138,68.40817081778529,21.58088876673699,103.58573639391138,68.40817081778529,33.09705218988746,82.10181838405586,62.856662287926326,19.45029655677046,83.12469115193907,41.93490825078325,5.803540421743374,84.14756405177722,21.013154547475366,1.6017306366949484,103.64808467152108,69.31885907786885,2.2119717254431626,115.95975747247321,66.90975624289236,2.822212761950193,128.27143023593263,64.50065219381018,12.482458442403109,60.618796745508,71.82742786782755,25.067435636607417,80.12738543379176,34.415199108524455,37.03860701278494,42.214938126114895,22.691758319727384,32.23477854016714,40.299563188278796,22.396864521262657,27.430952148442962,38.38418488121494,22.101972310405063,-9.26220644240311,60.704551254491996,73.06460013217246,-24.176768614326015,77.40441719749626,35.15270414910094,-13.245805950143234,46.91225928911125,61.014723216218925,-13.090126708338943,44.48723593240288,56.44007380973026,-12.934447758137825,42.062216393593914,51.86542324625768
0.04,1.607963,60.665985,72.455795,1.6164882552672772,79.38606763843717,71.08778673125488,-18.35593403812015,103.71965988305554,70.1245795741585,-18.35593403812015,103.71965988305554,70.1245795741585,-27.466645187587538,81.05861370602793,64.78867023145105,-17.60662887102949,82.97315894756778,41.895121036201616,-7.74661255447144,84.88770418910764,19.00157184095218,21.611011848707005,103.58306977623229,68.50452413617238,21.611011848707005,103.58306977623229,68.50452413617238,33.06890014015633,82.05761716657311,62.993472888907064,19.45584107865203,83.13299993646632,42.052408568146944,5.842780848467729,84.20838339693208,21.11134504256803,1.6275389052934264,103.65136482964391,69.31455185516545,2.2579967065365074,115.96477909071592,66.91959673874399,2.888454461784706,128.27819331540573,64.5246404079304,12.483129107476548,60.619647600440835,71.88947796847484,25.33202381187081,80.32155061823389,34.66875166338284,33.97996358521477,40.176644383664254,29.038360025330903,28.97583227134665,39.00574032276882,28.390251259042316,23.971702047572823,37.83483348244804,27.742145286361684,-9.267203107476549,60.71232239955916,73.02211203152515,-23.397543702701324,78.38514456303082,35.251139370406825,-12.98311416778103,47.38272833556367,60.716635918180614,-12.740760677555409,45.029207401651554,56.10853484522118,-12.49840745804382,42.67569046450678,51.50043258717763
0.08,1.605471,60.674347,72.469826,1.6261542081086926,79.39397696978772,71.0957665790226,-18.334285166824195,103.73289961557913,70.02486218457719,-18.334285166824195,103.73289961557913,70.02486218457719,-27.63869814765244,81.15362574511869,64.67656427169527,-17.5447201715675,83.00994427598205,41.88038717705316,-7.450741329702895,84.86626301244789,19.084210482514315,21.64021391636195,103.5844750829634,68.60451250704412,21.64021391636195,103.5844750829634,68.60451250704412,33.05639942954258,82.03169240517732,63.113768734769764,19.476212015338884,83.15293834905303,42.15377547788998,5.896025085818362,84.27418409200038,21.193781896230597,1.652964374768873,103.65868734927126,69.31468734581065,2.3034218112891107,115.97395355530574,66.93464927649882,2.953879217113852,128.28921976722876,64.55461020767555,12.4832078637315,60.624580461540305,71.95556535104214,25.592894511930936,80.51832829558842,34.92832595317413,27.469027189557053,39.2487774546192,38.30559829401637,22.59090580381269,38.99831778227885,36.58118732279413,17.7127839041541,38.74785709459119,34.85678027890475,-9.272265863731501,60.72411353845969,72.98408664895786,-22.014415622422014,80.52817965175313,35.78088612490203,-13.270310336873614,47.856915498791324,59.743999242906035,-13.00417995395956,45.66790541565101,55.05680381553189,-12.738049688333984,43.47889921304123,50.36960742497229
0.12,1.603933,60.683121,72.481949,1.6367503556927419,79.40229472319763,71.10192311793774,-18.311135058252972,103.74669648358073,69.92672004553715,-18.311135058252972,103.74669648358073,69.92672004553715,-27.74510853296958,81.22985828821858,64.54228486975285,-17.49096509414072,82.99363920421222,41.81033336495899,-7.2368224384829,84.75742030231508,19.078381521014883,21.669712192463656,103.58613084660601,68.69949887920718,21.669712192463656,103.58613084660601,68.69949887920718,33.05631280438993,82.0096320867636,63.24055870999858,19.52268360446181,83.1234649145879,42.25007855564019,5.989054404533688,84.2372977424122,21.25959840128179,1.679288567105344,103.66641366509337,69.31310946237217,2.349480839330023,115.98438007416802,66.9526002637559,3.019673069721114,128.30234640885442,64.59208963503468,12.483981036224149,60.62995626120054,72.01953334282192,25.8699433079819,80.72861068721618,35.20239536811805,21.9822218185988,40.39313870112261,43.92231452965091,17.54881809051888,40.42593616766091,41.243462684320015,13.11541311399232,40.45873418963298,38.564614409242594,-9.27611503622415,60.73628573879946,72.94436465717808,-20.254190342456067,82.27932419079299,36.14734166411069,-13.05891880339027,48.086764392917004,58.44529203743879,-12.634030708212086,46.08202140820528,53.68789073304771,-12.209142560772845,44.077282425906226,48.93048858985683
0.16,1.602906,60.691658,72.492599,1.6609373231152265,79.41032869038403,71.10659277932699,-18.259353027612423,103.76639842439059,69.72346904113564,-18.259353027612423,103.76639842439059,69.72346904113564,-27.717481967201714,81.27684599251025,64.26784548595806,-17.23378953439451,82.9214326672638,41.63186687571185,-6.750095474324457,84.56601944064427,18.995889026286523,21.731670506300983,103.58119278941935,68.89658598848581,21.731670506300983,103.58119278941935,68.89658598848581,33.14803266949686,81.99306006999892,63.54689434807899,19.79190919382046,83.05202326861047,42.44019961284221,6.435785128686128,84.11098576699975,21.333505215477544,1.7361587393442774,103.67379560690497,69.31002751481073,2.441843891504995,115.99393281977825,66.97129167346651,3.1475288075396466,128.31407001350513,64.63255462038018,12.486979881008054,60.631690841310764,72.13842433597529,26.29500755662942,80.95031480301591,35.59894655730696,19.29815906128068,41.44823505212007,46.02638513974986,15.125029888194163,41.542264588505745,42.95905032753611,10.951899105961573,41.63629540069464,39.891719051367375,-9.281167881008056,60.75162515868923,72.84677366402471,-18.92943890569296,83.19754544704908,36.21709890477353,-12.839431678380027,48.07585006258739,57.37082184415177,-12.277494739143727,46.17453125000013,52.58525968820598,-11.715557790823071,44.27321620329211,47.799696875297265
0.2,1.602129,60.699783,72.502281,1.6761192269607195,79.41852619504563,71.11801515216,-18.225649128936766,103.782423344547,69.61160756556578,-18.225649128936766,103.782423344547,69.61160756556578,-27.686124227392554,81.31257612415595,64.0793949156595,-17.047866497667616,82.87715169166171,41.509955937928765,-6.409609548339848,84.44172741786936,18.940516603354208,21.769702904688003,103.58175105929135,69.03580695740594,21.769702904688003,103.58175105929135,69.03580695740594,33.205730325165334,81.98938143813581,63.74554694664186,19.97655484121278,83.00946921589457,42.55714594655561,6.747379357260227,84.02955699365333,21.368744946469356,1.7720268878756178,103.68208720191917,69.32370726148586,2.501400342357023,116.00521434290458,67.008105904473,3.230773787682396,128.32834149384823,64.69250354755164,12.488168882418947,60.6355627045025,72.21573007602612,26.53759578741322,81.09351467556215,35.84641128783955,18.40578216754182,41.89036407528612,46.57433089824723,14.275624848454516,42.02815608171027,43.45099848210063,10.145465938400863,42.16594958959815,40.32766952025409,-9.283910882418947,60.764003295497496,72.78883192397387,-18.308509970367368,83.49796451088977,36.17783408064077,-12.755712716667801,47.922491788822,56.71204582992241,-12.12520484825604,46.05774083334215,51.9206415262652,-11.494696941370528,44.19299381752704,47.129236531549715
0.24,1.601553,60.707321,72.511154,1.6772716351259205,79.42651760143066,71.13312693984089,-18.22242326542761,103.7918585890487,69.62268553342496,-18.22242326542761,103.7918585890487,69.62268553342496,-27.704946496666246,81.3529837878478,64.00319704913645,-16.997631982628754,82.90042326491525,41.46525466385435,-6.29031746859126,84.44786274198269,18.927312278572256,21.77326176839676,103.58947395935226,69.07112489597947,21.77326176839676,103.58947395935226,69.07112489597947,33.209978381475125,82.00411858483776,63.75379977256871,19.98886556119732,83.0172710262682,42.56003422880775,6.767751820093983,84.03042402780505,21.366269286252468,1.7754192514845732,103.69066627420048,69.3469052147022,2.510895010545824,116.01647960860693,67.04758817114461,3.246370765588494,128.34229299419013,64.74827034318518,12.48774328151211,60.642624946525856,72.23048413097922,26.60190982634482,81.20323491298723,35.94421724008129,17.56999235491341,42.32396107971696,47.12134575730142,13.459359765701517,42.53556075800731,43.97645835202702,9.348726020216567,42.747161784227956,40.83157382422576,-9.284637281512111,60.772017053474144,72.79182386902079,-18.118223000779377,83.6316569117373,36.212510408861846,-12.73574145249174,47.81563371738255,56.370462780752305,-12.084694906735013,45.970358498406924,51.574267490661455,-11.43364830345491,44.12508739091667,46.77807146284523
0.28,1.601216,60.713844,72.519012,1.678652133037773,79.43348978028095,71.1471961233755,-18.21897501716255,103.80026975240176,69.63273271936235,-18.21897501716255,103.80026975240176,69.63273271936235,-27.706074683099352,81.38105677319356,63.942932255243726,-16.932476107530483,82.93517288106274,41.43705975814284,-6.158877920586663,84.48928907163312,18.93118708071733,21.77702699893719,103.5961715816336,69.10531764104697,21.77702699893719,103.5961715816336,69.10531764104697,33.21902228068694,82.02115688483035,63.75746902640387,20.00876462725198,83.06383474276899,42.55836726207367,6.79850697381702,84.10651260070763,21.359265497743475,1.7790259908873218,103.69822066701768,69.36902518020466,2.5205513117433025,116.02641756971592,67.08447727297572,3.2620766291556,128.3546145244987,64.79992858140197,12.487552833888312,60.64867232463303,72.24419753193756,26.70399866580586,81.34678621452834,36.07622421804038,16.61605734070914,42.87114504647754,47.736419132038115,12.509746027308156,43.208691652386825,44.596887131011336,8.403433488461562,43.54624000889278,41.4573581986152,-9.285120833888314,60.77901567536697,72.79382646806245,-17.94768598289391,83.75446529436506,36.24618325855008,-12.663470522731767,47.809769520340254,56.2000696365719,-11.991525530683399,45.98251099885509,51.39986050336552,-11.319580469917474,44.15525650709408,46.5996506814231
0.32,1.600984,60.719887,72.526665,1.680127866984161,79.43997794757686,71.16103530787308,-18.215436319879398,103.80819271279485,69.64256019683678,-18.215436319879398,103.80819271279485,69.64256019683678,-27.700286940551933,81.39927329551128,63.90863141691467,-16.861710246002406,82.96249010256287,41.43461067182949,-6.023133939268206,84.52570699430812,18.960589745603084,21.780866940594155,103.60237898151698,69.13920524826617,21.780866940594155,103.60237898151698,69.13920524826617,33.23383757100699,82.04023051525797,63.76303400304843,20.021249525449328,83.12959560603586,42.56773261718978,6.80866194634549,84.21896043125972,21.372430926907658,1.7827153103573783,103.70528584715592,69.39088272255148,2.529968336461702,116.03575109691347,67.12048684229347,3.277221347267536,128.3662162812845,64.85008953096091,12.48746363852987,60.654239439036544,72.25768270018433,27.002982038718127,81.71468733967443,36.41917262897721,15.037729942214808,44.00453824388663,48.7836000861705,10.820808780617263,44.742638881242755,45.867236791722725,6.603886458688618,45.48074114580485,42.950876962262505,-9.28549563852987,60.785534560963455,72.79564729981566,-17.798568767909558,83.82852940022254,36.25540210280837,-12.554331288405677,47.83958556472018,56.13995801354578,-11.856774648315408,46.025584330013515,51.33837434213635,-11.159217928702452,44.21158704228807,46.53679002651004
0.36,1.60067,60.72541,72.534065,1.6815106269975069,79.44594208676294,71.17459581139921,-18.21199696636047,103.81558643984478,69.65212362526684,-18.21199696636047,103.81558643984478,69.65212362526684,-27.698548474180555,81.4138755684499,63.89289706921741,-16.786345783210535,82.97994362283126,41.45473174136066,-5.874143092240518,84.54601167721262,19.016566413503913,21.78459185036184,103.60805717479624,69.17273377327534,21.78459185036184,103.60805717479624,69.17273377327534,33.25021875949213,82.06206296483333,63.758905822105056,20.036073742807638,83.22875894507794,42.568691288794795,6.8219297867118485,84.3954553515793,21.378476117574046,1.7862974420006825,103.71182180732052,69.41242869927109,2.53855952490706,116.04431736388807,67.15475004200918,3.2908215974869672,128.37681289572103,64.89707016923545,12.487288673064711,60.6592868414071,72.27088902241765,27.060237878895087,82.05580342381236,36.655446109141295,14.423284167915195,44.67420212567467,49.34500694461703,10.017428433787789,45.81712593708585,46.87224494422901,5.611571791712036,46.9600508430958,44.399486689623416,-9.285948673064713,60.79153315859289,72.79724097758235,-17.70795605270858,83.860997685021,36.25259509768908,-12.476946378898194,47.89526964423245,56.18258790230785,-11.760880233684048,46.0884891740521,51.38100638082454,-11.044813902103186,44.28171265175439,46.5794242369608
