Time,Skel535:Hips.X,Skel535:Hips.Y,Skel535:Hips.Z,Skel535:Spine.X,Skel535:Spine.Y,Skel535:Spine.Z,Skel535:LeftShoulder.X,Skel535:LeftShoulder.Y,Skel535:LeftShoulder.Z,Skel535:LeftArm.X,Skel535:LeftArm.Y,Skel535:LeftArm.Z,Skel535:LeftForeArm.X,Skel535:LeftForeArm.Y,Skel535:LeftForeArm.Z,Skel535:LeftHand.X,Skel535:LeftHand.Y,Skel535:LeftHand.Z,Skel535:LeftHandEnd.X,Skel535:LeftHandEnd.Y,Skel535:LeftHandEnd.Z,Skel535:RightShoulder.X,Skel535:RightShoulder.Y,Skel535:RightShoulder.Z,Skel535:RightArm.X,Skel535:RightArm.Y,Skel535:RightArm.Z,Skel535:RightForeArm.X,Skel535:RightForeArm.Y,Skel535:RightForeArm.Z,Skel535:RightHand.X,Skel535:RightHand.Y,Skel535:RightHand.Z,Skel535:RightHandEnd.X,Skel535:RightHandEnd.Y,Skel535:RightHandEnd.Z,Skel535:Neck.X,Skel535:Neck.Y,Skel535:Neck.Z,Skel535:Head.X,Skel535:Head.Y,Skel535:Head.Z,Skel535:HeadEnd.X,Skel535:HeadEnd.Y,Skel535:HeadEnd.Z,Skel535:RightUpLeg.X,Skel535:RightUpLeg.Y,Skel535:RightUpLeg.Z,Skel535:RightLeg.X,Skel535:RightLeg.Y,Skel535:RightLeg.Z,Skel535:RightFoot.X,Skel535:RightFoot.Y,Skel535:RightFoot.Z,Skel535:RightToeBase.X,Skel535:RightToeBase.Y,Skel535:RightToeBase.Z,Skel535:RightToeBaseEnd.X,Skel535:RightToeBaseEnd.Y,Skel535:RightToeBaseEnd.Z,Skel535:LeftUpLeg.X,Skel535:LeftUpLeg.Y,Skel535:LeftUpLeg.Z,Skel535:LeftLeg.X,Skel535:LeftLeg.Y,Skel535:LeftLeg.Z,Skel535:LeftFoot.X,Skel535:LeftFoot.Y,Skel535:LeftFoot.Z,Skel535:LeftToeBase.X,Skel535:LeftToeBase.Y,Skel535:LeftToeBase.Z,Skel535:LeftToeBaseEnd.X,Skel535:LeftToeBaseEnd.Y,Skel535:LeftToeBaseEnd.Z
0.0,4.678202,65.398308,75.040779,3.445539007849966,83.839082246981,71.76492482860893,-17.95014584126916,106.01883676991385,65.26631160025232,-17.95014584126916,106.01883676991385,65.26631160025232,-27.501080189218705,84.28036885457364,73.09054739519628,-22.083230541428584,70.50290340559201,52.945365564394706,-16.665381270866547,56.72543716985042,32.80018417021333,21.645625638038485,109.46583227618312,69.77109826980815,21.645625638038485,109.46583227618312,69.77109826980815,30.825900700282567,131.74223234444372,63.10142438120321,32.098253208486625,154.31563613691674,52.432658739535356,33.37060571669068,176.88903992938975,41.7638930978675,1.8477398983846631,107.74233452304848,67.51870493503023,-0.040781735261576024,119.7850234443948,64.49201806672667,-1.9293033322897,131.82771231442965,61.46533041767037,15.486814919498887,66.2950268708781,76.02153484273198,35.950390548603515,53.412249783942734,39.22591647667698,19.951558370730716,15.709504325923461,32.8507533744703,21.011733198322627,11.631010770072042,29.838392241316956,22.071906958579756,7.552514937957397,26.826034600763176,-6.130410919498886,64.5015891291219,74.06002315726802,-17.34237581085369,50.84114530422538,33.73229669367985,-28.35697252262588,37.29444885962137,-3.8611605219373146,-27.063539723571548,34.563801909965406,-8.068653692149129,-25.770108217645202,31.833151673440465,-12.276144563720973
0.04,4.663458,65.345108,75.064308,3.245985750815765,83.77996640532326,71.83017729283486,-18.364364654200585,105.75044732972867,65.33098210612866,-18.364364654200585,105.75044732972867,65.33098210612866,-27.78173376554163,83.93253283548322,73.09575938191408,-22.15975686382434,70.33738179029115,52.88276247955024,-16.537779537000063,56.742230805373985,32.66976565488369,21.181631786902337,109.60065377603237,69.94509911820333,21.181631786902337,109.60065377603237,69.94509911820333,30.998040382335752,132.0368291239645,64.91954859668394,33.238801959038696,155.07234204368393,55.467346097699334,35.47956353574164,178.10785496340335,46.01514359871473,1.408633566350877,107.67555055288052,67.638040612166,-0.3147956326636605,119.7576431139621,64.67045995491853,-2.0382250091654317,131.83973559461256,61.702878508509116,15.458998184657945,66.353388202154,76.08007527422171,35.62692956318256,53.48032650653932,39.118199910109894,25.440397502218808,13.882030302441933,32.3129186513233,25.960447328616045,9.462318848902965,29.66186248589891,26.48049638632513,5.042605506509247,27.010810212223447,-6.1320821846579445,64.336827797846,74.04854072577828,-17.455153922767757,51.130044530930995,33.6009162455388,-28.585117826729107,37.969778711463384,-4.09568383676487,-27.256704669173203,35.251625054506135,-8.300366836316238,-25.928293099166886,32.533468064047625,-12.505047619088202
0.08,4.648079,65.285194,75.074219,3.0115652847578325,83.71988125152697,71.94420905899864,-18.837232628614764,105.44421514496972,65.41487820668479,-18.837232628614764,105.44421514496972,65.41487820668479,-28.120070876362593,83.51554956521025,73.02819154302014,-22.303780733287837,70.10648556145742,52.74598822299519,-16.487490598328783,56.697421920546105,32.46378466075946,20.617808642201155,109.78627219697856,70.35919402136666,20.617808642201155,109.78627219697856,70.35919402136666,31.1378164560307,132.23378185234205,67.12828921476394,34.37076700347924,155.68505527843166,59.09175977398323,37.60371776686314,179.13632880045725,51.05523070001867,0.8902880067931962,107.61524367097414,67.88703611402572,-0.6925229447619183,119.74001243069493,65.01677552816184,-2.2753340523654995,131.86478107054648,62.14651393806737,15.42207420470304,66.42815828230013,76.17274527570855,35.79489761109086,53.914285405267314,39.19988420154071,30.12932520791347,13.51034671982741,31.883780132076197,30.295945133322434,8.861998104841403,29.603979066033727,30.462564423139284,4.213648098743205,27.324181828956533,-6.1259162047030395,64.14222971769988,73.97569272429145,-17.34899760738491,51.55908249601274,33.30201261336173,-28.409100489884437,38.94888519253048,-4.602596590578656,-27.01299611639233,36.26339883796451,-8.806339632734083,-25.616893215144948,33.57790902986763,-13.010080394110007
0.12,4.629011,65.222427,75.071014,2.7887532107555373,83.65137413257574,72.02139233716908,-19.292470807938848,105.15436580729556,65.54144560703914,-19.292470807938848,105.15436580729556,65.54144560703914,-28.488389135946996,83.1581461134856,73.06483615161747,-22.580885008182417,69.84759964991606,52.744138628609036,-16.67338089758713,56.53705354875912,32.42344086322028,20.09922953233012,109.92422605727991,70.59539233193372,20.09922953233012,109.92422605727991,70.59539233193372,31.39141892162977,132.17377271186183,69.03202018757042,35.63538323618518,155.88895685694445,62.35528386945794,39.87934700419179,179.60414101933438,55.67854726541425,0.4033793621956372,107.53929593228773,68.06841896948643,-1.0866947073635764,119.69306831492386,65.27213573023357,-2.5767684856841515,131.8468405956001,62.47585129325639,15.38861962399359,66.48103240586786,76.18404351030193,35.90388989945123,54.338639353775704,39.16611028283036,33.53296256742938,13.780008887030291,30.951577492955423,33.54446920717041,9.03180307118248,28.881116415247153,33.555975353127316,4.283596156793738,26.810658998183676,-6.130597623993589,63.96382159413213,73.95798448969808,-17.559436184598823,51.9565982709487,33.16767140971623,-28.871148139317324,39.89019027202888,-4.839555815704337,-27.438028716786892,37.2291760929046,-9.046404066589977,-26.004910769166315,34.5681584445295,-13.253250062387902
0.16,4.600345,65.153328,75.052658,2.6453513070103005,83.58401034744907,72.08604691993673,-19.5617300520401,104.97059889318533,65.65112791189506,-19.5617300520401,104.97059889318533,65.65112791189506,-28.76500878401461,82.93308003794361,73.04351746375524,-22.808160813167817,69.71751007987649,52.67529041927118,-16.851312891309266,56.50194084611396,32.307062890507694,19.784239201778785,109.97776408810883,70.83022051468619,19.784239201778785,109.97776408810883,70.83022051468619,32.0411437742068,131.76655717583074,70.95978163090241,37.52365420721265,155.56802866527318,65.62761187654904,43.0061646402185,179.3695001547156,60.29544212219567,0.11125457486934387,107.47418149064707,68.24067421329062,-1.2765593420848964,119.65331110283947,65.50270448424786,-2.6643731655151868,131.83244054354648,62.76473333285633,15.35073485919802,66.4753020405801,76.1811979909993,36.024252387086776,54.64049244436653,39.151691394427374,36.42673469150861,14.201129452222709,30.063331834422968,36.39421910201837,9.418988575523878,28.07273611490576,36.361702887859245,4.636846498230633,26.082144479859735,-6.1500448591980215,63.8313539594199,73.9241180090007,-17.930769545885205,52.48637632728573,33.04444809444573,-29.62620025445562,41.04566406151677,-5.04005471313441,-28.166506760486094,38.40090778946666,-9.248018485771794,-26.706814816342277,35.75614837307054,-13.45598025683183
0.2,4.557785,65.078255,75.017097,2.5190412160917086,83.51402418323642,72.13981150172917,-19.780538886992154,104.82627783036878,65.77857054900647,-19.780538886992154,104.82627783036878,65.77857054900647,-29.017124020031908,82.7615080108124,73.0470936376472,-23.03272020276839,69.6294285385584,52.63299557561353,-17.04831678460508,56.497348626013206,32.21889767981607,19.533311356487992,109.99529992826746,71.04187650483414,19.533311356487992,109.99529992826746,71.04187650483414,32.804220172484534,131.10852467591587,72.80673342617133,39.6422590590106,154.8042151815261,68.71338813793938,46.480297533825926,178.49990578808672,64.62004274631894,-0.1236137652520779,107.41078887931812,68.4102235269203,-1.4855459377623061,119.60447270636362,65.72453566356786,-2.847478049568858,131.79815645841362,63.03884680488093,15.30153837213804,66.444185025096,76.15643832076992,36.07926411156379,54.81760682590276,39.11929215080476,39.37271344101501,14.320130943120297,30.9211222729931,39.267783556631926,9.447377318264781,29.16679568494434,39.162852859328446,4.574622810711757,27.41247294753195,-6.185968372138039,63.712324974904,73.87775567923009,-18.467773689205764,53.06976032829107,32.95667944904734,-30.709276508896906,42.27594058487327,-5.145045115199956,-29.235529732297067,39.642035438702685,-9.354916142458594,-27.76178442199659,37.00812696665846,-13.564785039512042
0.24,4.497883,64.99395,74.962692,2.392317737231197,83.4363243642741,72.17732736233746,-19.98167061422602,104.69668619305408,65.90433167364381,-19.98167061422602,104.69668619305408,65.90433167364381,-29.274560710552954,82.61563384531328,73.05061188602836,-23.27073028479346,69.56317277135727,52.59120622184575,-17.266899908238727,56.51071279357383,32.131799843900176,19.30776549522008,109.98661561269267,71.22944734722262,19.30776549522008,109.98661561269267,71.22944734722262,33.63343073472359,130.19205056540568,74.62292842384068,42.01213160624903,153.56658327137853,71.7197245930868,50.39083284873691,176.9411158695758,68.81652096520524,-0.3369525595029681,107.34165090287337,68.56688951043321,-1.702080033865785,119.54656798511458,65.93437553892527,-3.0672072321334896,131.75148502323395,63.301860583027356,15.236452847289586,66.3932986250913,76.11031609365523,36.081344140467785,54.85222749129581,39.08416873803137,42.77641772589352,14.577413141948078,31.927516621365648,42.61183286576822,9.631769154138153,30.395877853127175,42.44724685735336,4.686124475904501,28.864242984233737,-6.240686847289586,63.594601374908684,73.81506790634478,-19.166714131076947,53.70722883390394,32.90297816707228,-32.0976326359321,43.59911037024108,-5.159071678581348,-30.618854070431514,40.97203637700141,-9.371445847025294,-29.14007715026344,38.34495924614091,-13.583818073930818
0.28,4.421231,64.902161,74.890366,2.228321305228201,83.3499345287562,72.2101360966424,-20.24132703582587,104.53554627851076,66.02680584748182,-20.24132703582587,104.53554627851076,66.02680584748182,-29.550800681571086,82.42798678273363,73.0687880669886,-23.45373167535037,69.4479986296668,52.59085709045614,-17.356662678608476,56.468010843766706,32.11292587837191,19.012994260402223,109.98897274683019,71.44514501434163,19.012994260402223,109.98897274683019,71.44514501434163,34.42595126032544,129.0180870823616,76.47839089784372,44.59233849062775,151.79688658901566,74.81379974107197,54.75872548191445,174.5756862272281,73.14920892481426,-0.6141663877118204,107.26225951267048,68.73597543091172,-1.9870632003708297,119.4785018883786,66.16065401882119,-3.3599599815840993,131.69474419452948,63.585331609219445,15.152698865704384,66.34616601638588,76.04904928718705,36.11612081313382,54.85570544623687,39.07411642612561,45.5399718234239,14.95464235555528,32.975055262555486,45.360757706044815,9.974094468358151,31.56281413931121,45.18154204431419,4.993545986119548,30.150576987916946,-6.310236865704385,63.45815598361413,73.73168271281295,-19.956607211287505,54.34740302911389,32.87324220251728,-33.65432111528975,44.92461670053606,-5.096299305351074,-32.17256145722868,42.30568650182573,-9.312695026430848,-30.6908033325179,39.68675330679768,-13.529088863461578
0.32,4.33891,64.810715,74.810776,1.9869415748139803,83.26142049337658,72.29035048906627,-20.657924167442236,104.30025249343794,66.2466415003291,-20.657924167442236,104.30025249343794,66.2466415003291,-29.919074546170204,82.12071409121535,73.12408069867325,-23.665633255626695,69.29628372881105,52.59535794479574,-17.41219152526438,56.47185269429259,32.06663574476966,18.534482078135962,110.05483936673538,71.80002088582367,18.534482078135962,110.05483936673538,71.80002088582367,34.89308782380624,127.74018435541298,78.48018485755219,46.85840229737811,149.68920890611378,78.21265762293022,58.82371649972248,171.63823360840564,77.94513069464416,-1.061721044653133,107.17754593008665,69.02333119307639,-2.4430130936840815,119.40877365527,66.5247707223617,-3.8243050975626183,131.64000136287726,64.02620946985358,15.056251513714269,66.33834722482895,75.99273651714128,36.26214665890854,55.14156363113909,39.06600565469938,46.48574516684294,15.31925341032128,33.796850795219584,46.379752098353606,10.347671210826574,32.34614894790098,46.273757409857325,5.376088484547436,30.895450657114612,-6.378431513714268,63.28308277517105,73.62881548285873,-20.68655396901483,54.95256270678604,32.83026806834317,-35.12761443167764,46.178628468366156,-5.019120320391302,-33.63613458814007,43.58143180210458,-9.245520360590394,-32.14465607103566,40.98423193115117,-13.47191833906481
0.36,4.257572,64.722824,74.730286,1.8619528366051044,83.18060909144499,72.30458779647998,-20.826412557107748,104.19225048669729,66.32982283115709,-20.826412557107748,104.19225048669729,66.32982283115709,-30.09011051377313,81.98235402917894,73.1051013873485,-23.752983853539654,69.27400490655985,52.52990544004864,-17.41585675727577,56.56565548544201,31.954709811414343,18.339831221302116,110.01957203435161,71.99088915036003,18.339831221302116,110.01957203435161,71.99088915036003,35.675317756700295,126.0433283606383,80.22011388764943,49.63245098486894,146.74916102129384,81.4312810437768,63.58958319498422,167.4549943735355,82.6424481084543,-1.2432906679028184,107.10591126052445,69.16035599075856,-2.590133190979861,119.35231294307242,66.71794634789643,-3.9369756328172043,131.59871452986957,64.27553549392226,14.970577472992638,66.27034311875711,75.92560951801136,36.263902599230484,55.44311947781472,38.939031719606405,44.37466938017188,15.180219079121969,33.35184419655037,44.52160038866127,10.317326939495251,31.573336039747318,44.668529683610544,5.454433971994864,29.79483133690338,-6.455433472992638,63.1753048812429,73.53496248198866,-21.45622802471849,55.48117307994416,32.86042618984058,-36.55418291065989,47.30021685742463,-4.865242316561854,-35.057488654685244,44.70648164233137,-9.091924689869744,-33.56079585585145,42.112743159789666,-13.318605013624822
